根据企业国有资产法律制度的规定，某重要的国有独资公司的下列事项中，董事会有权直接作出决定的是()。,为他人提供大额担保,合并、分立、解散、申请破产,增加或者减少注册资本,分配利润,第十章 企业国有资产法律制度,A,(1)“合并、分立、解散、申请破产”由履行出资人职责的机构决定;重要的国有独资企业、国有独资公司、国有资本控股公司的合并、分立、解散、申请破产以及法律、行政法规和本级人民政府规定应当由履行出资人职责的机构报经本级人民政府批准的重大事项，履行出资人职责的机构在作出决定或者向其委派参加国有资本控股公司股东会会议、股东大会会议的股东代表作出指示前，应当报请本级人民政府批准;(2)“增加或者减少注册资本、分配利润”由履行出资人职责的机构决定即可。故应当选择A选项。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/138048.html">2020年注册会计师考试《经济法》每日一练(7-17)</a>,单选 经济法
根据企业国有资产法律制度的规定，涉及国有独资企业的下列事项中，由企业负责人集体讨论决定的有()。,为他人提供大额担保,进行重大投资,分配利润,进行大额捐赠,第十章 企业国有资产法律制度,ABD,“进行重大投资、为他人提供大额担保、转让重大财产、进行大额捐赠”在国有独资企业由企业负责人集体讨论决定，所以本题选择ABD。“分配利润”在国有独资企业分配利润由履行出资人职责的机构决定。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/138048.html">2020年注册会计师考试《经济法》每日一练(7-17)</a>,多选 经济法
有关国有企业的混合所有制改革，下列表述正确的有()。,主业处于充分竞争行业和领域的商业类国有企业，应当保持国有资本控股地位,公益类国有企业，应当保持国有资本绝对控股地位,国有企业引入非国有资本时，允许将部分国有资本转化为优先股,重要国有企业改制后国有资本不再控股的，应当将改革方案报同级人民政府批准,第十章 企业国有资产法律制度,CD,(1)选项A：主业处于充分竞争行业和领域的商业类国有企业，应积极引入其他国有资本或各类非国有资本实现股权多元化;(2)选项B：公益类国有企业可以采取国有独资形式，具备条件的也可以推行投资主体多元化，还可以通过购买服务、特许经营、委托代理等方式，鼓励非国有企业参与经营。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/138048.html">2020年注册会计师考试《经济法》每日一练(7-17)</a>,多选 经济法
根据企业国有资产法律制度的规定，国家出资企业发生重大资产损失隐瞒不报的，企业总会计师应当承担的责任是()。,直接责任,主管责任,分管领导责任,重要领导责任,第十章 企业国有资产法律制度,C,国有企业发生重大或者特别重大资产损失隐瞒不报或者少报资产损失的，总会计师或者企业分管财务负责人和企业主要负责人应当承担分管领导责任和重要领导责任，按照规定对相关责任人进行责任认定除外。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/138048.html">2020年注册会计师考试《经济法》每日一练(7-17)</a>,单选 经济法
某国有独资公司的董事张某因违反规定造成公司国有资产特别重大损失被免职。根据企业国有资产法律制度的规定，下列有关张某任职的表述中，正确的是()。,张某自免职之日起2年内不得担任国有资本参股公司的董事、监事、高级管理人员,张某自免职之日起3年内不得担任国有资本控股公司的董事、监事、高级管理人员,张某自免职之日起5年内不得担任国有独资公司的董事、监事、高级管理人员,张某终身不得担任国有独资公司的董事、监事、高级管理人员,第十章 企业国有资产法律制度,D,国有独资企业、国有独资公司、国有资本控股公司的董事、监事、高级管理人员违反规定，造成国有资产“特别重大损失”，或者“因贪污、贿赂、侵占财产、挪用财产或者破坏社会主义市场经济秩序”，被判处刑罚，“终身”不得担任国有独资企业、国有独资公司、国有资本控股公司的董事、监事、高级管理人员，故D选项正确。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/138048.html">2020年注册会计师考试《经济法》每日一练(7-17)</a>,单选 经济法
甲公司自乙公司背书取得银行承兑汇票一张，后得知该票据已经被A公司申请公示催告，但是因甲公司所在地发生特大地震，导致甲公司无法及时申报权利。根据规定，甲公司可以自知道或应当知道除权判决公告之日起()内，向作出除权判决的法院起诉，请求撤销除权判决。,6个月,1年,2年,3年,第九章 票据与支付结算法律制度,B,利害关系人因为正当理由不能在除权判决之前向法院及时申报权利的，自知道或者应当知道判决公告之日起1年内，可以向作出除权判决的法院起诉，请求撤销除权判决。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/137820.html">2020年注册会计师考试《经济法》每日一练(7-16)</a>,单选 经济法
企业国有资产法律制度的规定，下列关于企业国有资产监督管理体制的表述中，不正确的是()。,企业国有资产为全民所有,只有国务院有权代表国家对国家出资企业履行出资人职责,国务院代表国家行使企业国有资产所有权,国务院确定的关系国民经济命脉和国家安全的大型国家出资企业，由国务院代表国家履行出资人职责,第十章 企业国有资产法律制度,B,国务院和地方人民政府依照法律、行政法规的规定，分别代表国家对国家出资企业履行出资人职责，享有出资人权益;故B选项错误。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/137820.html">2020年注册会计师考试《经济法》每日一练(7-16)</a>,单选 经济法
下列选项中，不属于国家出资企业的是()。,国有独资公司,国有资本控股公司,国有资本参股公司,购买国有资产的公司,第十章 企业国有资产法律制度,D,国家出资企业包括：国家出资的国有独资企业、国有独资公司以及国有资本控股公司、国有资本参股公司。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/137820.html">2020年注册会计师考试《经济法》每日一练(7-16)</a>,单选 经济法
根据企业国有资产法律制度的规定，公司董事会、监事会的成员可以由公司职工代表出任。下列表述中，正确的是()。,国有独资公司的董事会、监事会成员中，应当有职工代表，且其比例不得低于董事会、监事会成员的1/3,两个以上的国有企业投资设立的有限责任公司，其董事会成员中可以无职工代表，但监事会成员中必须有职工代表，且其比例不得低于监事会成员的1/3,没有国有投资主体投资设立的有限责任公司，其董事会、监事会成员中可以无职工代表,股份有限公司董事会成员中可以有职工代表，监事会中应当有职工代表，且其比例不得低于监事会成员的1/3,第十章 企业国有资产法律制度,D,(1)国有独资公司的董事会成员中应当有职工代表;监事会成员中也应当有职工代表，其比例不得低于监事会成员的1/3，具体比例由公司章程规定;董事会、监事会成员中的职工代表均由职工代表大会选举产生;故A选项错误。(2)两个以上的国有企业或者两个以上的其他国有投资主体投资设立的有限责任公司，其董事会成员中应当有职工代表。其他有限责任公司董事会成员中可以有职工代表;有限责任公司监事会中应当有职工代表，其比例不得低于监事会成员的1/3，具体比例由公司章程规定;职工代表由职工通过职工代表大会、职工大会或者其他形式民主选举产生;故BC选项错误。(3)股份有限公司董事会中可以有职工代表;监事会中应当有职工代表，其比例不得低于监事会成员的1/3，具体比例由公司章程规定;故D选项正确。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/137820.html">2020年注册会计师考试《经济法》每日一练(7-16)</a>,单选 经济法
根据企业国有资产法律制度的规定，履行出资人责任的机构对其任命的企业管理者的年度经营业绩考核指标为()。,利润总额,经济增加值,国有资本保值增值率,总资产周转率,第十章 企业国有资产法律制度,AB,履行出资人责任的机构对其任命的企业管理者的年度经营业绩考核指标包括基本指标(利润总额、经济增加值)和分类指标。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/137820.html">2020年注册会计师考试《经济法》每日一练(7-16)</a>,多选 经济法
